game_id,game_date,home_team,away_team,home_score,away_score,margin,closing_spread,home_ortg_10,home_drtg_10,home_net_rtg_10,home_pace_10,home_win_pct_10,home_rest_days,home_b2b,away_ortg_10,away_drtg_10,away_net_rtg_10,away_pace_10,away_win_pct_10,away_rest_days,away_b2b
0022300054,2023-11-28,BKN,TOR,115,103,12,,113.7,111.1,2.6000000000000085,100.0,0.6,2,0,112.9,115.8,-2.8999999999999915,100.0,0.4,2,0
0022300055,2023-11-28,CLE,ATL,128,105,23,,114.2,112.2,2.0,100.0,0.7,2,0,122.8,124.9,-2.1000000000000085,100.0,0.4,2,0
0022300056,2023-11-28,MIA,MIL,124,131,-7,,113.1,108.3,4.799999999999997,100.0,0.6,3,0,123.3,115.9,7.3999999999999915,100.0,0.8,2,0
0022300057,2023-11-28,NYK,CHA,115,91,24,,113.9,106.9,7.0,100.0,0.7,2,0,110.5,121.8,-11.299999999999997,100.0,0.3,2,0
0022300058,2023-11-28,MIN,OKC,106,103,3,,113.8,109.7,4.099999999999994,100.0,0.8,2,0,119.4,106.9,12.5,100.0,0.7,3,0
0022300059,2023-11-28,DAL,HOU,121,115,6,,118.7,120.9,-2.200000000000003,100.0,0.5,3,0,111.2,102.6,8.600000000000009,100.0,0.6,4,0
0022300060,2023-11-28,SAC,GSW,124,123,1,,119.4,115.9,3.5,100.0,0.8,4,0,113.5,117.9,-4.400000000000006,100.0,0.2,4,0
0022300061,2023-10-24,DEN,LAL,119,107,12,,,,,100.0,,3,0,,,,100.0,,3,0
0022300062,2023-10-24,GSW,PHX,104,108,-4,,,,,100.0,,3,0,,,,100.0,,3,0
0022300063,2023-10-25,CHA,ATL,116,110,6,,,,,100.0,,3,0,,,,100.0,,3,0
0022300064,2023-10-25,IND,WAS,143,120,23,,,,,100.0,,3,0,,,,100.0,,3,0
0022300065,2023-10-25,NYK,BOS,104,108,-4,,,,,100.0,,3,0,,,,100.0,,3,0
0022300066,2023-10-25,ORL,HOU,116,86,30,,,,,100.0,,3,0,,,,100.0,,3,0
0022300067,2023-10-25,BKN,CLE,113,114,-1,,,,,100.0,,3,0,,,,100.0,,3,0
0022300068,2023-10-25,MIA,DET,103,102,1,,,,,100.0,,3,0,,,,100.0,,3,0
0022300069,2023-10-25,TOR,MIN,97,94,3,,,,,100.0,,3,0,,,,100.0,,3,0
0022300070,2023-10-25,CHI,OKC,104,124,-20,,,,,100.0,,3,0,,,,100.0,,3,0
0022300071,2023-10-25,MEM,NOP,104,111,-7,,,,,100.0,,3,0,,,,100.0,,3,0
0022300072,2023-10-25,UTA,SAC,114,130,-16,,,,,100.0,,3,0,,,,100.0,,3,0
0022300073,2023-10-25,SAS,DAL,119,126,-7,,,,,100.0,,3,0,,,,100.0,,3,0
0022300074,2023-10-25,LAC,POR,123,111,12,,,,,100.0,,3,0,,,,100.0,,3,0
0022300075,2023-10-26,MIL,PHI,118,117,1,,,,,100.0,,3,0,,,,100.0,,3,0
0022300076,2023-10-26,LAL,PHX,100,95,5,,,,,100.0,,2,0,,,,100.0,,2,0
0022300077,2023-10-27,CHA,DET,99,111,-12,,,,,100.0,,2,0,,,,100.0,,2,0
0022300078,2023-10-27,MEM,DEN,104,108,-4,,,,,100.0,,2,0,,,,100.0,,3,0
